Poisson Period,Packet Size,Mean Throughput,Packet Delivery Ratio
40,100,16.402740333333337,82.332486291293293


60,100,13.290729499999999,99.065513470523911


80,100,9.8580968333333328,99.608795359503574


100,100,7.9180561666666662,99.764705882352942


150,100,5.448645833333333,99.950992403822596


200,100,3.9037021666666667,100.0


